proposalId,final_tags,matched_keywords,decision,confidence,evidence
AL-1,Bridge & Replace; Pavement & Marking; River & South; Interchange & Replacement; Creek & Town,bridge; drain; drainage; grading; pavement; replace; replacement; river,hold,0.41,"Matched 'bridge' ... for constructing the Bridge Replacement (Grading, Drainage, Pavement, and Bridge Removal) on SR-14 ov"
AK-1,Bridge & Replace; River & South; Near & Valley; Creek & Town,bridge; federal; replace; south,hold,0.31,Matched 'federal' ... This federally funded contract includes all necessary design and construction service
AZ-1,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; River & South; Near & Valley; Interchange & Replacement; Creek & Town,asphalt; bridge; bridge deck; concrete; deck; lanes; line; marking; mill; milling; other; pavement; pavement marking; paving; replace; roadway; shoulder; shoulders; widening,publish,0.76,Matched 'line' ... Route (SR 64) between MP 185.79 and MP 205 from I-40 to Pipeline Road within the Kaibab National Forest. The work consists of Pavement rehab
AZ-2,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; Near & Valley; Interchange & Replacement,begins; marking; milepost; mill; other; pavement; pavement marking; replace,hold,0.49,Matched 'begins' ... located on Navajo Nation and Hopi lands in Coconino County begins at Tuba City and extends east along US 160 from Milepost 321.80 to Milepo
AR-1,Bridge & Replace; Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; River & South; Interchange & Replacement; Creek & Town,asphalt; base; concrete; drain; drainage; items; maintenance; marking; mill; milling; pavement; pavement marking; paving; roadway; surface,publish,0.74,"Matched 'items' ... ECT CONSISTS OF CLEARING AND GRUBBING, REMOVAL AND DISPOSAL ITEMS, FLOWABLE SELECT MATERIAL, EARTHWORK, SELECT GRANULAR BACKFILL, AGGREGATE"
CA-1,Bridge & Replace; River & South; Near & Valley,district; near; north; south; valley,hold,0.27,Matched 'near' ... CONSTRUCTION ON STATE HIGHWAY IN NEVADA COUNTY NEAR GRASS VALLEY FROM 0.2 MILE SOUTH OF LA BARR MEADOWS ROAD TO 0.1 MILE NORTH
CO-1,,,hold,0.0,
CT-1,Bridge & Replace; River & South; Creek & Town,bridge; bridge no; town,hold,0.22,Matched 'bridge' ... REHABILITATION OF BRIDGE NO.06729 U.S. ROUTE 6 OVER AN UNNAMED BROOK TOWNS OF WINDHAM AND MANSFIEL
DE-1,Pavement & Marking; Resurfacing & Shoulder; Interchange & Replacement,asphalt; marking; mill; milling; other; pavement; pavement marking,hold,0.27,"Matched 'pavement' ... PAVEMENT & REHABILITATION, KENT II, (WHITELEYSBURG & VERNON), 2025 - The propose"
FL-1,Bridge & Replace; Pavement & Marking,base; items; roadway,hold,0.22,"Matched 'roadway' ... mits and estimated quantities per cycle, per section of the roadway are specified in Attachment 'A' on pages 36 through 38 of the Specificat"
FL-2,,,hold,0.0,
GA-1,Bridge & Replace; Creek & Town,bridge; creek,hold,0.15,Matched 'bridge' ... 0.181 MILE OF CONSTRUCTION OF A BRIDGE AND APPROACHES ON MOULTRIE LENOX RD (CR 478) OVER GUM CREEK (LIBP). (E)
ID-1,Resurfacing & Shoulder; Near & Valley,addition; line; shoulder; shoulders,hold,0.17,"Matched 'addition' ... y 0.75 miles of 3200 N Road, from 4400 E to 4475 E with the addition of paved shoulders, shoulder and centerline rumble strips and approach"
IN-1,,,hold,0.0,
IA-1,Bridge & Replace; Resurfacing & Shoulder; Interchange & Replacement; Creek & Town,bridge; bridge deck; deck; reconstruction; replace; replacement,hold,0.32,Matched 'reconstruction' ... RECONSTRUCTION - BRIDGE DECK REPLACEMENT
KS-1,Near & Valley,valley,hold,0.07,"Matched 'valley' ... FR OAK ST TO PLUM ST, 6TH ST FR OAK ST TO PLUM ST, AND KAW VALLEY RD AT 15TH ST AND 17TH ST INTERS IN THE CITY OF WAMEGO IN PT CO. LGTH IS"
KY-1,,,hold,0.0,
KY-2,,,hold,0.0,
LA-1,Bridge & Replace; Preservation & Surface; River & South; Near & Valley; Creek & Town,begins; bridge; maintenance; north; south,hold,0.39,"Matched 'maintenance' ... MAINTENANCE MOWING, LITTER & TRASH COLLECTION AND DISPOSAL, AND TREE AND BRUSH C"
LA-2,,,hold,0.0,
ME-1,,,hold,0.0,
MD-1,Bridge & Replace; River & South; Creek & Town,bridge; bridge no,hold,0.21,"Matched 'bridge' ... Cleaning and Painting of Existing Bridge Nos. 1503900, 1504500, 1504603, 1504604, 1504900, and 1506800 on Various"
MD-2,Preservation & Surface,counties; maintenance,hold,0.08,"Matched 'maintenance' ... PROVIDE MAINTENANCE OF TRAFFIC AT VARIOUS LOCATIONS IN CARROLL, FREDERICK, AND HOWARD CO"
MA-1,Bridge & Replace; Interchange & Replacement,replace; replacement,hold,0.15,Matched 'replace' ... Replacement of Fire Alarm & Suppression Systems at Andrew Station Boston MA
MA-2,,,hold,0.0,
MA-3,Interchange & Replacement,interchange; street,hold,0.08,Matched 'street' ... Flood Relief on Route 20- Grafton Street (Route 122) Interchange to Flint Pond [SHREWSBURY -WORCESTER ]
MI-1,Pavement & Marking; Resurfacing & Shoulder; Preservation & Surface; Interchange & Replacement,addition; concrete; marking; pavement; pavement marking; reconstruction; street,hold,0.33,"Matched 'reconstruction' ... 1.80 mi of road reconstruction including concrete curb, gutter, sidewalk and ramps, storm sewer,"
